,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/5,/amdcpu/0/load/6,/amdcpu/0/load/7,/amdcpu/0/load/8,/amdcpu/0/load/9,/amdcpu/0/load/10,/amdcpu/0/load/11,/amdcpu/0/load/12,/amdcpu/0/load/13,/amdcpu/0/load/14,/amdcpu/0/load/15,/amdcpu/0/load/16,/amdcpu/0/load/17,/amdcpu/0/load/0,/amdcpu/0/load/1,/amdcpu/0/power/0,/amdcpu/0/clock/1,/amdcpu/0/factor/0,/amdcpu/0/power/1,/amdcpu/0/voltage/2,/amdcpu/0/clock/2,/amdcpu/0/factor/1,/amdcpu/0/power/2,/amdcpu/0/voltage/3,/amdcpu/0/clock/3,/amdcpu/0/factor/2,/amdcpu/0/power/3,/amdcpu/0/voltage/4,/amdcpu/0/clock/4,/amdcpu/0/factor/3,/amdcpu/0/power/4,/amdcpu/0/voltage/5,/amdcpu/0/clock/5,/amdcpu/0/factor/4,/amdcpu/0/power/5,/amdcpu/0/voltage/6,/amdcpu/0/clock/6,/amdcpu/0/factor/5,/amdcpu/0/power/6,/amdcpu/0/voltage/7,/amdcpu/0/clock/7,/amdcpu/0/factor/6,/amdcpu/0/power/7,/amdcpu/0/voltage/8,/amdcpu/0/clock/8,/amdcpu/0/factor/7,/amdcpu/0/power/8,/amdcpu/0/voltage/9,/amdcpu/0/temperature/2,/amdcpu/0/voltage/0,/amdcpu/0/voltage/1,/amdcpu/0/clock/0,/gpu-amd/0/factor/0,/gpu-amd/0/smalldata/5,/gpu-amd/0/smalldata/4,/gpu-amd/0/smalldata/3,/gpu-amd/0/smalldata/6,/gpu-amd/0/smalldata/7,/gpu-amd/0/smalldata/8,/gpu-amd/0/load/2,/gpu-amd/0/load/6,/gpu-amd/0/load/3,/gpu-amd/0/load/4,/gpu-amd/0/load/5,/gpu-amd/0/load/8,/gpu-amd/0/load/7,/gpu-amd/0/load/10,/gpu-amd/0/load/11,/gpu-amd/0/load/9,/gpu-amd/0/clock/0,/gpu-amd/0/clock/2,/gpu-amd/0/load/0,/gpu-nvidia/0/temperature/0,/gpu-nvidia/0/clock/0,/gpu-nvidia/0/clock/4,/gpu-nvidia/0/load/0,/gpu-nvidia/0/load/1,/gpu-nvidia/0/load/2,/gpu-nvidia/0/load/3,/gpu-nvidia/0/smalldata/3,/gpu-nvidia/0/smalldata/4,/gpu-nvidia/0/load/5,/gpu-nvidia/0/load/10,/gpu-nvidia/0/load/12,/gpu-nvidia/0/load/6,/gpu-nvidia/0/load/7,/gpu-nvidia/0/load/11,/gpu-nvidia/0/load/13,/gpu-nvidia/0/load/8,/gpu-nvidia/0/load/9,/gpu-nvidia/0/load/14,/gpu-nvidia/0/temperature/2,/gpu-nvidia/0/smalldata/2,/gpu-nvidia/0/smalldata/0,/gpu-nvidia/0/smalldata/1,/gpu-nvidia/0/load/3,/gpu-nvidia/0/power/0,/gpu-nvidia/0/throughput/0,/gpu-nvidia/0/throughput/1
11/12/2025 16:06:45,7.190001,4.762679,21.2540989,5.28113842,6.51152134,6.550461,8.405882,6.620753,7.45589161,7.723129,15.1070709,3.345549,10.3484688,2.092129,6.73334026,8.524609,7.994175,21.2540989,8.779696,3493.42969,35,0.651191056,1.06875,3493.42969,35,1.56193686,1.05,3493.42969,35,0.755943835,1.06875,3493.42969,35,0.806268632,1.05,4366.787,43.75,0.8820697,1.34375,3493.42969,35,0.915981352,1.04375,3493.42969,35,0.6934405,1.05625,3493.42969,35,0.8024117,1.0375,54.5000076,1.55,1.55,99.81228,-1,496.5625,127.390625,369.171875,56.6601563,15997.3691,16054.0293,0.6529036,0,0,0,0,0,0,0,0,0,400,1600,0,41,210,405,4,3,0,0,1296.94531,86.30078,2.21326256,0,0,0,0.009780453,0,0,0,0,0,47,8192,6730,1461,17.8406715,12.291,4399104,99328
11/12/2025 16:06:46,14.4621668,1.67338252,13.1519318,4.96797,9.771788,2.88757086,8.11531,2.49382854,22.9888973,28.781641,29.3711777,2.54272223,26.256258,1.46743059,11.7508707,2.857238,11.4712534,29.3711777,12.5343571,3393.617,34,1.1093111,1.0375,3393.617,34,1.40645039,1.025,3393.617,34,1.0750984,1.0375,3393.617,34,0.811342835,1.025,4242.021,42.5,4.766509,1.3375,4242.021,42.5,2.43036461,1.30625,3393.617,34,2.259006,1.03125,3393.617,34,0.97854054,1.0125,56.3750076,1.55,1.55,99.81226,-1,496.5625,127.390625,369.171875,56.6601563,15997.3691,16054.0293,0.6125558,0,0,0,0,0,0,0,0,0,400,1600,0,41,210,405,8,5,0,0,1296.94531,86.30078,1.29671323,0,0,0,0.006446571,0,0,0,0,0,46.96875,8192,6730,1461,17.8406715,12.174,899072,4849664
11/12/2025 16:06:47,8.932161,0.587892532,9.079361,1.45967007,5.01487255,2.35394239,5.74368858,1.12192035,10.8336687,10.5733576,18.384552,0.7965386,11.8820076,0.494039059,7.31207132,11.8934813,6.6539526,18.384552,8.624568,4416.69238,44.25,0.708191752,1.3625,4391.73926,44,0.692515135,1.0625,3513.39136,35.2,0.569086969,1.06875,3513.39136,35.2,0.4666571,1.05625,3513.39136,35.2,1.994993,1.06875,4391.73926,44,1.2997297,1.30625,4391.73926,44,1.02497184,1.325,3513.39136,35.2,1.34808981,1.04375,57.0000076,1.55,1.55,99.8122559,-1,496.5625,127.390625,369.171875,56.6601563,15997.3691,16054.0293,0.6480417,0,0,0,0,0,0,0,0,0,400,1600,0,41,210,405,4,3,0,0,1296.94531,86.30078,1.64041924,0,0,0,0.00638016174,0,0,0,0,0,47,8192,6730,1461,17.8406715,12.221,949248,799744
11/12/2025 16:06:48,5.776429,1.27165914,7.15464973,4.281199,5.81582165,1.27786994,5.83274937,1.73584819,9.17365,2.0553112,10.8333826,1.619029,4.62127924,1.06652975,4.24581766,1.760298,4.28259945,10.8333826,5.76376152,2520.259,25.25,0.419802219,0.85625,2520.259,25.25,0.5875485,0.84375,2520.259,25.25,0.335517675,0.85625,2520.259,25.25,0.376863331,0.84375,2520.259,25.25,0.7347478,0.85625,2520.259,25.25,0.5650228,0.8375,2520.259,25.25,0.371321619,0.85,2520.259,25.25,0.296351761,0.8375,56.6250076,1.55,1.55,99.81224,-1,496.5625,127.390625,369.171875,56.6601563,15997.3691,16054.0293,0.628437757,0,0,0,0,0,0,0,0,0,400,1600,0,41,210,405,10,6,0,0,1296.69141,86.30078,1.98086822,0,0,0.1520614,0.0100044357,0,0,0,0,0,47.09375,8192,6730,1461,17.83762,12.138,4399104,349184
11/12/2025 16:06:49,6.26056767,0,9.6165,1.65241957,4.490119,2.93447375,5.678618,5.39749861,3.52218151,3.45124,12.1705294,1.461941,6.502652,0,4.49954271,1.84733272,4.29936647,12.1705294,6.445278,4416.69336,44.25,0.451654375,1.3625,3533.35474,35.4,0.7731866,1.0625,3533.35474,35.4,0.497788727,1.06875,3533.35474,35.4,0.604476333,1.05625,3533.35474,35.4,0.4111993,1.075,4416.69336,44.25,0.6822688,1.31875,3533.35474,35.4,0.52802515,1.0625,3533.35474,35.4,0.2610384,1.04375,56.0000076,1.55,1.55,99.81228,-1,496.5625,127.390625,369.171875,56.6601563,15997.3691,16054.0293,0.322417319,0,0,0,0,0,0,0,0,0,400,1600,0,41,210,405,4,3,0,0,1296.69141,86.30078,1.49621832,0,0,0,0.00483217929,0,0,0,0,0,46.875,8192,6730,1461,17.83762,12.257,899072,899072
11/12/2025 16:06:50,5.25186062,2.8909862,6.838608,3.206575,3.71078849,3.67978215,5.244893,1.58407092,3.38889956,1.16829872,10.4932194,1.61321163,4.564887,2.18992233,7.26351166,1.55810714,4.040474,10.4932194,5.19562,2520.25879,25.25,0.384441972,0.85625,3513.39063,35.2,0.4161588,0.84375,4391.73828,44,0.276868,1.34375,4391.73828,44,0.3063496,1.31875,4391.73828,44,0.20648244,1.34375,4391.73828,44,0.5612781,1.30625,4391.73828,44,0.3405133,1.325,4391.73828,44,0.389324069,1.3,55.2500076,1.55,1.55,99.81223,-1,496.5625,127.390625,369.171875,56.6601563,15997.3691,16054.0293,0.6794666,0,0,0,0,0,0,0,0,0,400,1600,0,41,210,405,7,5,0,0,1292.69141,86.22266,1.850136,0,0,0.0564164072,0.00980459,0,0,0,0,0,46.90625,8192,6734,1457,17.7887917,12.159,4349952,849920
11/12/2025 16:06:51,4.43732738,0,5.616069,0,4.78520966,0,4.311532,1.58243775,2.87491083,1.017803,10.16447,1.7378211,3.94256115,0.6436527,4.226887,1.89237,2.80211568,10.16447,4.868007,3553.31714,35.6,0.321068525,1.075,3553.31714,35.6,0.28490147,1.0625,3553.31714,35.6,0.2537728,1.075,3553.31714,35.6,0.263552874,1.0625,3553.31714,35.6,0.164394751,1.075,4441.64648,44.5,0.5281931,1.3375,3553.31714,35.6,0.304904521,1.06875,3553.31714,35.6,0.287905037,1.05,54.3750076,1.55,1.55,99.81228,-1,496.5625,127.390625,369.171875,56.6601563,15997.3691,16054.0293,0.6949689,0,0,0,0,0,0,0,0,0,400,1600,0,41,210,405,4,3,0,0,1292.69141,86.30078,1.34958088,0,0,0.0390852876,0.006460956,0,0,0,0,0,47.21875,8192,6734,1457,17.7887917,12.313,4299776,849920
11/12/2025 16:06:52,10.9461422,3.42549682,8.393103,3.5361588,4.91024256,3.452742,6.134242,2.70907283,10.1786375,1.27375126,13.2603588,1.53986812,4.813719,1.113689,5.627501,2.21602917,5.22067547,13.2603588,5.949098,3533.35425,35.4,0.656886458,1.075,3533.35425,35.4,0.4904994,1.0625,3533.35425,35.4,0.301146537,1.06875,3533.35425,35.4,0.450774372,1.05625,4416.693,44.25,0.5467803,1.35625,3533.35425,35.4,0.724587262,1.05,3533.35425,35.4,0.346030325,1.0625,3533.35425,35.4,0.3719853,1.05,54.0000076,1.55,1.55,99.81226,-1,496.5625,127.390625,369.171875,56.6601563,15997.3691,16054.0293,0.5969932,0,0,0,0,0,0,0,0,0,400,1600,0,41,210,405,5,4,0,0,1292.69141,86.30078,2.05996871,0,0,0,0.008912524,0,0,0,0,0,47.21875,8192,6734,1457,17.7887917,12.173,49152,849920
11/12/2025 16:06:53,5.362898,1.07343793,5.831492,1.41854286,3.22932,1.21269226,5.23234,1.3794899,2.551359,1.65858269,9.543771,0.808030367,3.89639139,0.9899795,4.123849,1.71211958,3.12652588,9.543771,4.943816,2520.25952,25.25,0.3720089,0.85625,2520.25952,25.25,0.304152429,0.84375,2520.25952,25.25,0.21123822,0.85625,2520.25952,25.25,0.2580798,0.84375,2520.25952,25.25,0.170641258,0.85625,2520.25952,25.25,0.4752846,0.8375,3513.39136,35.2,0.327614754,1.0625,4391.73926,44,0.249855429,1.3,53.2500076,1.55,1.55,99.8122559,-1,496.5625,127.390625,369.171875,56.6601563,15997.3691,16054.0293,0.6419317,0,0,0,0,0,0,0,0,0,400,1600,0,41,210,405,4,3,0,0,1292.69141,86.07031,1.01257348,0,0,0.03081576,0.006834624,0,0,0,0,0,46.84375,8192,6734,1457,17.7887917,12.271,99328,849920
11/12/2025 16:06:54,4.916978,0.6197274,7.199353,0.764447451,3.617841,1.58569813,4.546279,1.08435154,1.66720748,0.5694926,10.4069891,0.47314167,4.8922596,0.4734695,3.53485942,0.971531868,2.95772552,10.4069891,4.93343163,3553.31641,35.6,0.371312618,1.08125,3553.31641,35.6,0.393198431,1.0625,3553.31641,35.6,0.2649448,1.075,4391.73926,44,0.279006124,1.0625,3513.39136,35.2,0.118959881,1.06875,4391.73926,44,0.5114985,1.30625,4391.73926,44,0.3731646,1.325,4391.73926,44,0.233764738,1.3,52.6250076,1.55,1.55,99.8122559,-1,496.5625,127.390625,369.171875,56.4296875,15997.6,16054.0293,0.317042083,0,0,0,0.0189727545,0,0,0,0,0,400,1600,0,41,210,405,4,3,0,0,1292.69141,86.07031,1.3436594,0,0,0,0.00794149749,0,0,0,0,0,47.09375,8192,6734,1457,17.7887917,12.104,99328,699392
