,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/5,/amdcpu/0/load/6,/amdcpu/0/load/7,/amdcpu/0/load/8,/amdcpu/0/load/9,/amdcpu/0/load/10,/amdcpu/0/load/11,/amdcpu/0/load/12,/amdcpu/0/load/13,/amdcpu/0/load/14,/amdcpu/0/load/15,/amdcpu/0/load/16,/amdcpu/0/load/17,/amdcpu/0/load/0,/amdcpu/0/load/1,/amdcpu/0/power/0,/amdcpu/0/clock/1,/amdcpu/0/factor/0,/amdcpu/0/power/1,/amdcpu/0/voltage/2,/amdcpu/0/clock/2,/amdcpu/0/factor/1,/amdcpu/0/power/2,/amdcpu/0/voltage/3,/amdcpu/0/clock/3,/amdcpu/0/factor/2,/amdcpu/0/power/3,/amdcpu/0/voltage/4,/amdcpu/0/clock/4,/amdcpu/0/factor/3,/amdcpu/0/power/4,/amdcpu/0/voltage/5,/amdcpu/0/clock/5,/amdcpu/0/factor/4,/amdcpu/0/power/5,/amdcpu/0/voltage/6,/amdcpu/0/clock/6,/amdcpu/0/factor/5,/amdcpu/0/power/6,/amdcpu/0/voltage/7,/amdcpu/0/clock/7,/amdcpu/0/factor/6,/amdcpu/0/power/7,/amdcpu/0/voltage/8,/amdcpu/0/clock/8,/amdcpu/0/factor/7,/amdcpu/0/power/8,/amdcpu/0/voltage/9,/amdcpu/0/temperature/2,/amdcpu/0/voltage/0,/amdcpu/0/voltage/1,/amdcpu/0/clock/0,/gpu-amd/0/factor/0,/gpu-amd/0/smalldata/5,/gpu-amd/0/smalldata/4,/gpu-amd/0/smalldata/3,/gpu-amd/0/smalldata/6,/gpu-amd/0/smalldata/7,/gpu-amd/0/smalldata/8,/gpu-amd/0/load/2,/gpu-amd/0/load/6,/gpu-amd/0/load/3,/gpu-amd/0/load/4,/gpu-amd/0/load/5,/gpu-amd/0/load/8,/gpu-amd/0/load/7,/gpu-amd/0/load/10,/gpu-amd/0/load/11,/gpu-amd/0/load/9,/gpu-amd/0/clock/0,/gpu-amd/0/clock/2,/gpu-amd/0/load/0,/gpu-nvidia/0/temperature/0,/gpu-nvidia/0/clock/0,/gpu-nvidia/0/clock/4,/gpu-nvidia/0/load/0,/gpu-nvidia/0/load/1,/gpu-nvidia/0/load/2,/gpu-nvidia/0/load/3,/gpu-nvidia/0/smalldata/3,/gpu-nvidia/0/smalldata/4,/gpu-nvidia/0/load/5,/gpu-nvidia/0/load/10,/gpu-nvidia/0/load/12,/gpu-nvidia/0/load/6,/gpu-nvidia/0/load/7,/gpu-nvidia/0/load/11,/gpu-nvidia/0/load/13,/gpu-nvidia/0/load/8,/gpu-nvidia/0/load/9,/gpu-nvidia/0/load/14,/gpu-nvidia/0/temperature/2,/gpu-nvidia/0/smalldata/2,/gpu-nvidia/0/smalldata/0,/gpu-nvidia/0/smalldata/1,/gpu-nvidia/0/load/3,/gpu-nvidia/0/power/0,/gpu-nvidia/0/throughput/0,/gpu-nvidia/0/throughput/1
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Core #11","CPU Core #12","CPU Core #13","CPU Core #14","CPU Core #15","CPU Core #16","CPU Total","CPU Core Max","Package","Core #1","Core #1","Core #1 (SMU)","Core #1 VID","Core #2","Core #2","Core #2 (SMU)","Core #2 VID","Core #3","Core #3","Core #3 (SMU)","Core #3 VID","Core #4","Core #4","Core #4 (SMU)","Core #4 VID","Core #5","Core #5","Core #5 (SMU)","Core #5 VID","Core #6","Core #6","Core #6 (SMU)","Core #6 VID","Core #7","Core #7","Core #7 (SMU)","Core #7 VID","Core #8","Core #8","Core #8 (SMU)","Core #8 VID","Core (Tctl/Tdie)","Core (SVI2 TFN)","SoC (SVI2 TFN)","Bus Speed","Fullscreen FPS","D3D Dedicated Memory Total","D3D Dedicated Memory Free","D3D Dedicated Memory Used","D3D Shared Memory Used","D3D Shared Memory Free","D3D Shared Memory Total","D3D 3D","D3D High Priority Compute","D3D Compute 0","D3D Compute 1","D3D Copy","D3D Timer 0","D3D Security 1","D3D Video Decode 1","D3D Video Encode 0","D3D Video Codec 0","GPU Core","GPU Memory","GPU Core","GPU Core","GPU Core","GPU Memory","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Bus","D3D Dedicated Memory Used","D3D Shared Memory Used","D3D 3D","D3D Overlay","D3D Video Decode","D3D Copy","D3D Copy","D3D Security","D3D Video Encode","D3D NVEnc_1","D3D OFA_0","D3D VR","GPU Hot Spot","GPU Memory Total","GPU Memory Free","GPU Memory Used","GPU Memory","GPU Package","GPU PCIe Rx","GPU PCIe Tx"
11/11/2025 22:57:29,5.54686165,3.925866,11.0317888,6.89485073,6.905186,2.86166668,5.38569069,7.34280968,26.6231117,28.7651958,9.66199,8.414966,5.284339,22.3751183,10.6582937,4.85494137,10.408288,28.7651958,13.8916283,3353.702,33.6,0.508838654,1.03125,3353.702,33.6,1.28180909,1.01875,3353.702,33.6,0.568306,1.025,3333.73926,33.4,0.8828342,1.0125,4167.17432,41.75,4.80561447,1.35,4167.17432,41.75,1.09250951,1.28125,4167.17432,41.75,2.22113729,1.30625,4167.17432,41.75,0.919468641,1.275,67.50001,1.55,1.55,99.81255,-1,496.5625,448.5586,48.0039063,9.355469,16044.6738,16054.0293,0,0,0,0,0,0,0,0,0,0,400,1600,0,41,210,405,14,68,0,1,2112.5625,99.47266,5.175765,0,0,0,0.00416202,0,0,0,0,0,46.59375,8192,5914,2277,27.7977467,13.288,1499136,999424
11/11/2025 22:57:30,7.74984932,1.06924772,8.37329,1.05196834,19.8056278,10.0041981,5.86907864,2.85133123,7.928568,1.09909177,4.20697927,2.24872828,11.8420181,11.4185219,32.30571,8.98087,8.550322,32.30571,13.1669617,3473.47681,34.8,0.654858768,1.05625,3473.47681,34.8,0.5848729,1.04375,3473.47681,34.8,2.66059422,1.05625,4341.846,43.5,0.6232473,1.34375,3433.55176,34.4,0.853202939,1.05,4291.94,43,0.3539992,1.3,3433.55176,34.4,2.13973975,1.0375,4291.94,43,3.61752129,1.2875,68.75001,1.55,1.55,99.81255,-1,496.5625,448.5586,48.0039063,9.355469,16044.6738,16054.0293,0,0,0,0,0,0,0,0,0,0,400,1600,0,41,210,405,16,62,0,2,2129.94531,99.75781,4.97877,0,0,0.287386358,0.001620205,0,0,0,0,0,46.875,8192,5897,2294,28.0098438,13.489,1199104,999424
11/11/2025 22:57:31,3.50468159,1.4750123,6.95970058,2.77032256,21.9141426,9.325123,3.867513,14.0650806,8.18643,10.31906,4.677087,15.8230009,8.687478,18.8097172,6.289518,1.46211982,8.633494,21.9141426,12.7511225,3413.58984,34.2,0.26275152,1.05625,4266.9873,42.75,0.6491895,1.3125,3413.58984,34.2,2.77573085,1.04375,4266.9873,42.75,1.45980036,1.30625,4266.9873,42.75,1.6645571,1.33125,3413.58984,34.2,1.57782507,1.025,4266.9873,42.75,2.09956384,1.3375,4266.9873,42.75,0.420500338,1.2875,69.37501,1.55,1.55,99.81257,-1,496.5625,448.5586,48.0039063,9.355469,16044.6738,16054.0293,0,0,0,0,0,0,0,0,0,0,400,1600,0,41,210,405,15,53,0,1,2129.94531,99.75781,5.068048,0,0,0,0.00487573631,0,0,0,0,0,46.6875,8192,5897,2294,28.0098438,13.087,1049600,999424
11/11/2025 22:57:32,3.547448,1.96480155,4.05161953,3.85456085,12.1656475,10.0427094,2.60458,1.27437711,5.052662,3.42795849,5.76928854,6.83816051,9.277659,43.9824867,22.2643681,6.48919964,8.912969,43.9824867,11.8631439,3513.40112,35.2,0.256965339,1.06875,3513.40112,35.2,0.414392442,1.05625,4391.75146,44,1.70705521,1.06875,3513.40112,35.2,0.170109,1.05625,3513.40112,35.2,0.473569453,1.06875,3513.40112,35.2,0.688471437,1.04375,4391.75146,44,4.06624,1.35,3513.40112,35.2,1.93835807,1.04375,68.87501,1.55,1.55,99.81253,-1,496.5625,448.5586,48.0039063,9.355469,16044.6738,16054.0293,0,0,0,0,0,0,0,0,0,0,400,1600,0,41,210,405,15,54,0,1,2128.625,99.47266,3.13802314,0,0,0.0806461647,0,0,0,0,0,0,46.875,8192,5898,2293,27.9938221,13.37,6799360,1049600
11/11/2025 22:57:33,13.6103926,6.34668446,6.23641,2.575308,6.65071,3.10410261,4.45781946,0.497633219,4.143977,2.32418776,10.3179216,2.044803,8.55769,2.48525739,6.447488,10.54706,5.64671135,13.6103926,7.996373,4391.754,44,1.6287204,1.35,3513.403,35.2,0.653752267,1.05,4391.754,44,0.6928137,1.34375,3513.403,35.2,0.497168779,1.05625,3513.403,35.2,0.471516967,1.06875,4391.754,44,0.7313528,1.30625,4391.754,44,0.8261947,1.325,4391.754,44,1.11987638,1.3,67.25001,1.55,1.55,99.8125839,-1,496.5625,448.5586,48.0039063,9.355469,16044.6738,16054.0293,0,0,0,0,0,0,0,0,0,0,400,1600,0,41,210,405,17,45,0,1,2128.61719,98.31641,6.47622538,0,0,0.07550992,0.00359379849,0,0,0,0,0,46.90625,8192,5898,2293,27.9938221,13.566,6849536,999424
11/11/2025 22:57:34,3.27468514,2.79127955,2.91698575,1.88592076,3.50849032,1.12851262,0.8536577,2.85143256,1.44619942,4.08451,5.107212,1.25920773,1.15501881,0,1.82033181,0.9809792,2.18616724,5.107212,5.21720648,3553.327,35.6,0.796891868,1.075,4441.65869,44.5,0.363724679,1.35625,3553.327,35.6,0.46645233,1.075,4441.65869,44.5,0.349261165,1.3625,3553.327,35.6,0.589430869,1.075,3553.327,35.6,0.3974177,1.05625,3553.327,35.6,0.27526173,1.06875,3553.327,35.6,0.343210548,1.05,65.37501,1.55,1.55,99.81255,-1,496.5625,448.5586,48.0039063,9.355469,16044.6738,16054.0293,0,0,0,0,0,0,0,0,0,0,400,1600,0,41,210,405,9,41,0,1,2120.625,99.47266,4.456062,0,0,0.128504783,0.00161332428,0,0,0,0,0,46.6875,8192,5906,2285,27.8961658,13.677,7149568,999424
11/11/2025 22:57:35,6.181079,3.6144793,6.079298,4.32292843,6.41219044,1.5022099,5.64929247,1.76401138,3.31668854,1.4964819,7.236159,0.9220302,3.83579731,1.90271139,5.666298,1.99500918,3.86853814,7.236159,5.992326,3553.327,35.6,1.02183127,1.08125,3553.327,35.6,0.850861549,1.0625,3553.327,35.6,0.6374485,1.08125,3553.327,35.6,0.570617437,1.0625,3553.327,35.6,0.309900939,1.075,3553.327,35.6,0.4532755,1.05625,3553.327,35.6,0.466794878,1.06875,4441.65869,44.5,0.481613517,1.325,63.6250076,1.55,1.55,99.81255,-1,496.5625,448.5586,48.0039063,9.355469,16044.6738,16054.0293,0,0,0,0,0,0,0,0,0,0,400,1600,0,41,210,405,22,58,0,2,2112.5625,99.47266,3.08409238,0,0,0.0123408679,0.0170804039,0,0,0,0,0,46.6875,8192,5914,2277,27.7977467,12.995,949248,3749888
11/11/2025 22:57:36,4.67534065,2.79081464,5.79950237,2.08570957,3.55579853,0.786489248,2.75689363,1.96573734,2.79548168,2.01420784,5.874276,1.25537515,2.23118067,0.885278,2.859342,1.97206736,2.76896954,5.874276,4.8665204,4391.753,44,0.8390881,1.35625,4391.753,44,0.479959816,1.325,4391.753,44,0.233858317,1.34375,4391.753,44,0.320255,1.31875,4391.753,44,0.342456341,1.34375,4391.753,44,0.298906326,1.30625,4391.753,44,0.216821089,1.325,4391.753,44,0.242677033,1.3,61.8750076,1.55,1.55,99.81256,-1,496.5625,448.5586,48.0039063,9.355469,16044.6738,16054.0293,0,0,0,0,0,0,0,0,0,0,400,1600,0,41,210,405,14,44,0,2,2112.5625,99.47266,7.22100067,0,0,0,0.07004192,0,0,0,0,0,46.9375,8192,5914,2277,27.7977467,13.619,9.909965E+07,1299456
11/11/2025 22:57:37,5.552989,2.5704205,5.80346,2.27156281,3.89956236,1.4716804,3.61490846,2.42202282,3.25852036,1.96434259,6.13384247,1.48879886,3.39103937,1.28901,3.40845,2.33418941,3.17967534,6.13384247,4.80972338,4391.752,44,0.857955,1.35,4391.752,44,0.495688468,1.325,4391.752,44,0.311713368,1.34375,4391.752,44,0.326966971,1.31875,4391.752,44,0.2809233,1.34375,4391.752,44,0.266106457,1.30625,4391.752,44,0.245490432,1.325,4391.752,44,0.267266184,1.3,60.3750076,1.55,1.55,99.8125458,-1,496.5625,448.5586,48.0039063,9.355469,16044.6738,16054.0293,0,0,0,0,0,0,0,0,0,0,400,1600,0,41,210,405,13,51,0,2,2112.5625,99.47266,5.262984,0,0,0,0.0216418225,0,0,0,0,0,46.9375,8192,5914,2277,27.7977467,13.438,949248,3249152
